What does SQL stand for? ,Structured Query Language,Sequential Query Language ,Standard Question Language ,Systematic Query Logic ,1
Which of the following is not a type of database model?,Hierarchical ,Relational ,Object-Oriented,Scalar ,2
Which SQL command is used to retrieve data from a database?,UPDATE ,SELECT ,INSERT ,DELETE ,1
Which of the following is a non-relational database? ,MySQL ,PostgreSQL ,MongoDB ,Oracle ,3
Which SQL clause is used to filter the results of a query?,GROUP BY ,ORDER BY ,WHERE,HAVING ,3
What does SQL stand for? ,Structured Query Language,Sequential Query Language ,Standard Question Language ,Systematic Query Logic ,1
Which of the following is not a type of database model?,Hierarchical ,Relational ,Object-Oriented,Scalar ,2
Which SQL command is used to retrieve data from a database?,UPDATE ,SELECT ,INSERT ,DELETE ,3
Which of the following is a non-relational database? ,MySQL ,PostgreSQL ,MongoDB ,Oracle ,4
Which SQL clause is used to filter the results of a query?,GROUP BY ,ORDER BY ,WHERE,HAVING ,1
